ID,Marital status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age bracktes,Purchased Bike
12496,Maried,Female," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle aged,No
24107,Maried,Male," $30,000 ",3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Middle aged,No
14177,Maried,Male," $80,000 ",5,Partial College,Professional,No,2,2-5 Miles,Europe,60,Old,No
24381,Single,Male," $70,000 ",0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Middle aged,Yes
25597,Single,Male," $30,000 ",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Middle aged,Yes
13507,Maried,Female," $10,000 ",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,Middle aged,No
27974,Single,Male," $1,60,000 ",2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Middle aged,Yes
19364,Maried,Male," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Middle aged,Yes
22155,Maried,Male," $20,000 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,Old,No
19280,Maried,Male," $1,20,000 ",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Middle aged,Yes
22173,Maried,Female," $30,000 ",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Middle aged,Yes
12697,Single,Female," $90,000 ",0,Bachelors,Professional,No,4,More than 10 Miles,Pacific,36,Middle aged,No
11434,Maried,Male," $1,70,000 ",5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,Old,No
25323,Maried,Male," $40,000 ",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Middle aged,Yes
23542,Single,Male," $60,000 ",1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Middle aged,Yes
20870,Single,Female," $10,000 ",2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Middle aged,Yes
23316,Single,Male," $30,000 ",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Old,Yes
12610,Maried,Female," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle aged,No
27183,Single,Male," $40,000 ",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Middle aged,Yes
25940,Single,Male," $20,000 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Old,Yes
25598,Maried,Female," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Middle aged,Yes
21564,Single,Female," $80,000 ",0,Bachelors,Professional,Yes,4,More than 10 Miles,Pacific,35,Middle aged,No
19193,Single,Male," $40,000 ",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,Middle aged,Yes
26412,Maried,Female," $80,000 ",5,High School,Management,No,3,5-10 Miles,Europe,56,Old,No
27184,Single,Male," $40,000 ",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,Middle aged,No
12590,Single,Male," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,Old,No
17841,Single,Male," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolescent,Yes
18283,Single,Female," $1,00,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,Middle aged,No
18299,Maried,Male," $70,000 ",5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,Middle aged,No
16466,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Middle aged,Yes
19273,Maried,Female," $20,000 ",2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,Old,No
22400,Maried,Male," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolescent,Yes
20942,Single,Female," $20,000 ",0,High School,Manual,No,1,5-10 Miles,Europe,31,Middle aged,No
18484,Single,Male," $80,000 ",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle aged,Yes
12291,Single,Male," $90,000 ",5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Old,Yes
28380,Single,Female," $10,000 ",5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,Middle aged,No
17891,Maried,Female," $10,000 ",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Middle aged,Yes
27832,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolescent,No
26863,Single,Male," $20,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,28,Adolescent,No
16259,Single,Female," $10,000 ",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Middle aged,Yes
27803,Single,Female," $30,000 ",2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,Middle aged,No
14347,Single,Female," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old,Yes
17703,Maried,Female," $10,000 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,Middle aged,No
17185,Maried,Female," $1,70,000 ",4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Middle aged,Yes
29380,Maried,Female," $20,000 ",3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Middle aged,Yes
23986,Maried,Female," $20,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Old,Yes
24466,Maried,Female," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Middle aged,Yes
29097,Single,Female," $40,000 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle aged,Yes
19487,Maried,Male," $30,000 ",2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,Middle aged,No
14939,Single,Male," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Middle aged,Yes
13826,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,Adolescent,No
20619,Single,Male," $80,000 ",0,Bachelors,Professional,No,4,More than 10 Miles,Pacific,35,Middle aged,No
12558,Maried,Female," $20,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old,No
24871,Single,Female," $90,000 ",4,High School,Management,No,3,5-10 Miles,Europe,56,Old,No
17319,Single,Female," $70,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,Middle aged,No
28906,Maried,Male," $80,000 ",4,High School,Professional,Yes,2,More than 10 Miles,Europe,54,Middle aged,No
12808,Maried,Male," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle aged,Yes
20567,Maried,Male," $1,30,000 ",4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Old,Yes
25502,Maried,Female," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Middle aged,Yes
15580,Maried,Male," $60,000 ",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Middle aged,Yes
24185,Single,Female," $10,000 ",1,High School,Manual,No,1,1-2 Miles,Europe,45,Middle aged,No
19291,Single,Female," $10,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,Middle aged,No
16713,Maried,Male," $40,000 ",2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Middle aged,Yes
16185,Single,Male," $60,000 ",4,Bachelors,Professional,Yes,3,More than 10 Miles,Pacific,41,Middle aged,No
14927,Maried,Female," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Middle aged,Yes
29337,Single,Male," $30,000 ",2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,Old,No
29355,Maried,Female," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle aged,Yes
25303,Single,Male," $30,000 ",0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Middle aged,Yes
14813,Single,Female," $20,000 ",4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Middle aged,Yes
16438,Maried,Female," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,Adolescent,No
14238,Maried,Male," $1,20,000 ",0,Partial High School,Professional,Yes,4,More than 10 Miles,Pacific,36,Middle aged,Yes
16200,Single,Female," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,Middle aged,No
24857,Maried,Female," $1,30,000 ",3,High School,Professional,Yes,4,0-1 Miles,Europe,52,Middle aged,No
26956,Single,Female," $20,000 ",0,Partial College,Manual,No,1,2-5 Miles,Europe,36,Middle aged,Yes
14517,Maried,Female," $20,000 ",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,Old,No
12678,Single,Female," $1,30,000 ",4,High School,Management,Yes,4,0-1 Miles,Pacific,31,Middle aged,No
16188,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,Adolescent,No
27969,Maried,Male," $80,000 ",0,Bachelors,Professional,Yes,2,More than 10 Miles,Pacific,29,Adolescent,Yes
15752,Maried,Male," $80,000 ",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle aged,Yes
27745,Single,Male," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Old,Yes
20828,Maried,Female," $30,000 ",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle aged,Yes
19461,Single,Female," $10,000 ",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Middle aged,No
26941,Maried,Male," $30,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle aged,Yes
28412,Single,Male," $20,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,29,Adolescent,No
24485,Single,Male," $40,000 ",2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Middle aged,Yes
16514,Single,Male," $10,000 ",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolescent,Yes
17191,Single,Male," $1,30,000 ",3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Middle aged,Yes
19608,Maried,Male," $80,000 ",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Middle aged,No
24119,Single,Male," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,Adolescent,No
25458,Maried,Male," $20,000 ",1,High School,Manual,No,1,1-2 Miles,Europe,40,Middle aged,Yes
26886,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolescent,Yes
28436,Single,Male," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Adolescent,Yes
19562,Single,Female," $60,000 ",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Middle aged,Yes
15608,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,Middle aged,No
16487,Single,Female," $30,000 ",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,Old,No
17197,Single,Female," $90,000 ",5,Partial College,Professional,Yes,2,More than 10 Miles,Europe,62,Old,No
12507,Maried,Male," $30,000 ",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Middle aged,No
23940,Maried,Male," $40,000 ",1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Middle aged,Yes
19441,Maried,Male," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,25,Adolescent,Yes
26852,Maried,Female," $20,000 ",3,High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle aged,No
